chr    E.melliodora    E.tenuipes    E.virginea    E.viminalis    E.ANBG9806169    E.sideroxylon    E.microcorys    E.globulus    E.erythrocorys    E.marginata    E.decipiens    E.coolabah    E.albens    E.camaldulensis    E.cloeziana    E.brandiana    C.maculata    C.calophylla    E.regnans    E.caleyi    A.floribunda    E.sideroxylon_E.melliodora    E.victrix    E.pumila    E.guilfoylei    E.dawsonii    E.shirleyi    E.polyanthemos    E.paniculata    E.leucophloia    E.lansdowneana    E.fibrosa    E.curtisii    E.cladocalyx    E.grandis
chr01    CM023402.2    CM024537.1    CM024514.1    CM024526.1    CM024573.1    CM024548.1    CM024562.1    CM024717.1    CM024597.1    CM024585.1    CM024609.1    CM024620.1    CM024646.1    CM024657.1    CM024634.1    CM024668.1    CM024682.1    CM024693.1    CM024477.1    CM024466.2    CM024705.1    CM027824.1    CM027835.1    CM027846.1    CM027860.1    CM027871.1    CM029446.1    CM029457.1    CM029435.1    CM029468.1    CM029483.1    CM029505.1    CM029494.1    CM029516.1    NC_052612.1
chr02    CM023403.2    CM024538.1    CM024515.1    CM024527.1    CM024574.1    CM024549.1    CM024563.1    CM024718.1    CM024598.1    CM024586.1    CM024610.1    CM024621.1    CM024647.1    CM024658.1    CM024635.1    CM024669.1    CM024683.1    CM024694.1    CM024478.1    CM024467.2    CM024706.1    CM027825.1    CM027836.1    CM027847.1    CM027861.1    CM027872.1    CM029447.1    CM029458.1    CM029436.1    CM029469.1    CM029484.1    CM029506.1    CM029495.1    CM029517.1    NC_052613.1
chr03    CM023404.2    CM024539.1    CM024516.1    CM024528.1    CM024575.1    CM024550.1    CM024564.1    CM024719.1    CM024599.1    CM024587.1    CM024611.1    CM024622.1    CM024648.1    CM024659.1    CM024636.1    CM024670.1    CM024684.1    CM024695.1    CM024479.1    CM024468.2    CM024707.1    CM027826.1    CM027837.1    CM027848.1    CM027862.1    CM027873.1    CM029448.1    CM029459.1    CM029437.1    CM029470.1    CM029485.1    CM029507.1    CM029496.1    CM029518.1    NC_052614.1
chr04    CM023405.2    CM024540.1    CM024517.1    CM024529.1    CM024576.1    CM024551.1    CM024565.1    CM024720.1    CM024600.1    CM024588.1    CM024612.1    CM024623.1    CM024649.1    CM024660.1    CM024637.1    CM024671.1    CM024685.1    CM024696.1    CM024480.1    CM024469.2    CM024708.1    CM027827.1    CM027838.1    CM027849.1    CM027863.1    CM027874.1    CM029449.1    CM029460.1    CM029438.1    CM029471.1    CM029486.1    CM029508.1    CM029497.1    CM029519.1    NC_052615.1
chr05    CM023406.2    CM024541.1    CM024518.1    CM024530.1    CM024577.1    CM024552.1    CM024566.1    CM024721.1    CM024601.1    CM024589.1    CM024613.1    CM024624.1    CM024650.1    CM024661.1    CM024638.1    CM024672.1    CM024686.1    CM024697.1    CM024481.1    CM024470.2    CM024709.1    CM027828.1    CM027839.1    CM027850.1    CM027864.1    CM027875.1    CM029450.1    CM029461.1    CM029439.1    CM029472.1    CM029487.1    CM029509.1    CM029498.1    CM029520.1    NC_052616.1
chr06    CM023407.2    CM024542.1    CM024519.1    CM024531.1    CM024578.1    CM024553.1    CM024567.1    CM024722.1    CM024602.1    CM024590.1    CM024614.1    CM024625.1    CM024651.1    CM024662.1    CM024639.1    CM024673.1    CM024687.1    CM024698.1    CM024482.1    CM024471.2    CM024710.1    CM027829.1    CM027840.1    CM027851.1    CM027865.1    CM027876.1    CM029451.1    CM029462.1    CM029440.1    CM029473.1    CM029488.1    CM029510.1    CM029499.1    CM029521.1    NC_052617.1
chr07    CM023408.2    CM024543.1    CM024520.1    CM024532.1    CM024579.1    CM024554.1    CM024568.1    CM024723.1    CM024603.1    CM024591.1    CM024615.1    CM024626.1    CM024652.1    CM024663.1    CM024640.1    CM024674.1    CM024688.1    CM024699.1    CM024483.1    CM024472.2    CM024711.1    CM027830.1    CM027841.1    CM027852.1    CM027866.1    CM027877.1    CM029452.1    CM029463.1    CM029441.1    CM029474.1    CM029489.1    CM029511.1    CM029500.1    CM029522.1    NC_052618.1
chr08    CM023409.2    CM024544.1    CM024521.1    CM024533.1    CM024580.1    CM024555.1    CM024569.1    CM024724.1    CM024604.1    CM024592.1    CM024616.1    CM024627.1    CM024653.1    CM024664.1    CM024641.1    CM024675.1    CM024689.1    CM024700.1    CM024484.1    CM024473.2    CM024712.1    CM027831.1    CM027842.1    CM027853.1    CM027867.1    CM027878.1    CM029453.1    CM029464.1    CM029442.1    CM029475.1    CM029490.1    CM029512.1    CM029501.1    CM029523.1    NC_052619.1
chr09    CM023410.2    CM024545.1    CM024522.1    CM024534.1    CM024581.1    CM024556.1    CM024570.1    CM024725.1    CM024605.1    CM024593.1    CM024617.1    CM024628.1    CM024654.1    CM024665.1    CM024642.1    CM024676.1    CM024690.1    CM024701.1    CM024485.1    CM024474.2    CM024713.1    CM027832.1    CM027843.1    CM027854.1    CM027868.1    CM027879.1    CM029454.1    CM029465.1    CM029443.1    CM029476.1    CM029491.1    CM029513.1    CM029502.1    CM029524.1    NC_052620.1
chr10    CM023411.2    CM024546.1    CM024523.1    CM024535.1    CM024582.1    CM024557.1    CM024571.1    CM024726.1    CM024606.1    CM024594.1    CM024618.1    CM024629.1    CM024655.1    CM024666.1    CM024643.1    CM024677.1    CM024691.1    CM024702.1    CM024486.1    CM024475.2    CM024714.1    CM027833.1    CM027844.1    CM027855.1    CM027869.1    CM027880.1    CM029455.1    CM029466.1    CM029444.1    CM029477.1    CM029492.1    CM029514.1    CM029503.1    CM029525.1    NC_052621.1
chr11    CM023412.2    CM024547.1    CM024524.1    CM024536.1    CM024583.1    CM024558.1    CM024572.1    CM024727.1    CM024607.1    CM024595.1    CM024619.1    CM024630.1    CM024656.1    CM024667.1    CM024644.1    CM024678.1    CM024692.1    CM024703.1    CM024487.1    CM024476.2    CM024715.1    CM027834.1    CM027845.1    CM027856.1    CM027870.1    CM027881.1    CM029456.1    CM029467.1    CM029445.1    CM029478.1    CM029493.1    CM029515.1    CM029504.1    CM029526.1    NC_052622.1
